Transaction_ID,Customer_ID,Transaction_Date,Product_Category,Payment_Method,Transaction_Amount,Discount_Applied,Is_Fraudulent
e34187a4-f7e6-491a-80ed-045ce51a376e,7a4fe1c4-0909-454c-b4bc-7ad8e0cb8c90,2021-08-25,Toys,Credit Card,,10.0,1
ace17e20-63aa-40bf-9da5-7cea364389f2,242afe50-78bd-4333-9aa6-4f5b90b6be66,2020-08-10,Beauty ,PayPal,,15.0,0
941b604e-47bb-45af-ba3e-669d83b00cfc,389dd1a2-776e-4d82-ad44-94683bd58cfa,2024-02-21,Home & Kitchen,PayPal,,0.0,1
746a9c7b-ae87-4e1a-af8d-2194321fedd0,1cbe1d12-924f-4f41-9c50-bc0a4298ae49,2024-06-28,Home & Kitchen,Credit Card,,0.0,1
2cd6d249-393b-4f7d-8498-19ca566a58c4,837d09d4-9e17-4e3d-b69f-6fb94fdd95bb,2021-05-13,Clothing,cryptocurrency,,10.0,0
452d36dd-be45-4fb5-9329-8d1d53f15480,f4e1ccbf-be95-4a19-b5f9-f8f6a7556f97,2023-08-15,Clothing,Cash,,0.0,1
75bbe664-11de-415f-9551-f17f49fcadd3,cb963450-652d-47aa-bf57-2ace909929d4,2021-12-19,Clothing,Cash,7183.21,5.0,1
71751fd3-7764-4ada-8d97-608dd8b09911,699f7510-1f37-4d6b-a9c5-d3355cd89f74,2020-06-30,Toys,Cash,3330.91,10.0,1
926d41d6-7169-43c4-bd8d-0c4f41349140,95b1cc0b-0b6c-4f31-9b80-c6584ebcc2ec,2021-09-21,Electronics,PayPal,,50.0,1
d83a5aa9-f18a-4ede-938a-ecbb0226566b,47275320-859b-4be0-98b6-93e8b8e42fe5,2021-03-21,Beauty ,Debit Card,7211.5,10.0,0
3bb15baf-2810-4fec-8ac2-eda096189a43,fff4edbe-024d-4739-9d9d-9731c6714cf4,2022-03-23,Beauty ,Debit Card,4455.08,50.0,1
08085e55-7889-4483-8169-18b6349d2151,4d871871-bc15-452e-87cd-0a9691484b6c,2022-02-19,Electronics,Debit Card,,10.0,0
54373a4d-40f7-4337-9fbc-ee82a874c950,1db1c28d-8a80-4b1c-b33d-86347c57c636,2021-11-11,Clothing,cryptocurrency,,15.0,0
000bd7bd-ce56-49ea-9164-9197a71b85ce,d41c97d3-82d8-49b0-97af-1bba2aa3b645,2021-09-12,Toys,cryptocurrency,,20.0,1
08ef5edb-3e8f-40aa-b54f-3fe55e569cfd,27eadbc5-5b62-4299-8e67-97688bce31ff,2022-11-02,Toys,Credit Card,,15.0,0
ab000b89-67d4-4737-a2bf-b6bf1bf5f9b8,f8877a2b-cc19-479d-bb12-582f0ea37937,2022-05-27,Clothing,Cash,7056.29,50.0,0
a1c3222e-c460-4ea1-b9bc-b74822e12d23,6ab7c9c8-dccb-41f3-ab11-324ee75c5c9a,2021-06-13,Electronics,PayPal,6601.07,5.0,1
2be01faa-8597-4fff-b4ad-2b919320d493,408b1761-ddf9-4789-9e2c-76366564bb4c,2020-11-10,Beauty ,PayPal,9835.24,10.0,0
2aace492-3093-4c4e-9ef4-e5a74a419370,424886b8-54ef-4337-a436-0c1c725bbb1d,2024-10-05,Home & Kitchen,Cash,462.07,20.0,0
7ace5e53-4e29-4fdc-a571-9eb1c26144b8,47084a54-f60a-4622-acad-728b59652646,2025-01-28,Toys,Credit Card,,50.0,1
8475f9ac-1923-4d05-a446-894cc240a659,70e8bd39-c486-4477-8f14-1c58a895720e,2022-06-27,Clothing,Cash,,0.0,1
4f50997a-9100-4cdc-b0c0-d867d96cd624,7758d65f-03ec-4445-a446-cd1fe4e51835,2022-09-23,Electronics,Cash,3634.99,5.0,0
f6dbe631-ac84-4bc8-9c14-92a873ec0e89,1ba923bc-267b-47d2-8940-de03d5df1be4,2021-03-17,Electronics,Debit Card,4432.89,,1
e61df3ba-1a9a-411f-b843-518d4476a57a,3109b853-a93d-402e-9540-d5f47d21e61d,2020-10-26,Beauty,cryptocurrency,5777.06,50.0,0
62a8ebb7-f7f4-4c63-98f4-505dedea0a1a,8e50b8e7-96b4-43b8-b0de-c445569274f7,2024-05-07,Beauty,Cash,8068.26,50.0,0
41c7656e-5be6-4a86-a12a-67d552d9a54b,d2b0e44c-9d96-4607-be7d-27ac488bd95d,2021-09-03,Home & Kitchen,Credit Card,,15.0,0
6f7f0c60-e6bf-473d-9ef0-18942559ece0,3f63a64a-4501-4f5d-8409-431a5be5180b,2021-06-08,Toys,Cash,5033.02,10.0,0
f0c81a57-8b0a-4745-84c1-f2a81c2b5290,25885c23-3753-4aa1-b203-f390282ad186,2023-12-19,Toys,Cash,,20.0,1
7726a53a-8916-40ac-9e25-19dfef5dbfdc,449e84cb-4942-4e0c-a1b4-5444017ece30,2023-08-16,Beauty ,Debit Card,1731.39,20.0,0
dbec6a67-2fa9-49eb-9f7e-9090d8581452,7780081f-9604-4dbe-b4ea-c00dd792e8ce,2022-03-10,Beauty,Cash,,0.0,1
ce078a00-ed8d-437c-a669-ccd096f50a60,1a8250cd-c75c-4826-a715-3404596c5abd,2021-11-11,Electronics,Debit Card,,0.0,1
4ae27fd8-3578-47f9-8131-c75b79dbffe2,5bda2eb3-4d55-4a7f-8e77-66b13df02add,2021-03-10,Clothing,Cash,,5.0,0
c0a66d8d-ed20-4fae-8ed5-1318d51b3ac0,a5586786-3600-4a47-ab0d-767a362c5be3,2022-04-02,Toys,Debit Card,,,1
5cd25aea-3ea7-48f1-be77-94b8f9926575,590115b2-e867-4aba-924c-5ec10fb3c26c,2023-01-29,Clothing,cryptocurrency,9251.54,10.0,0
da034f56-4eca-474c-ad83-745977c9b1b6,92938f3f-e49a-4208-9db4-13b0ef958f0a,2022-11-29,Beauty ,Credit Card,,15.0,0
c81d1f2d-408c-48a8-bb45-3644e21c40b9,e1ce0cfc-e22f-46c3-8ab4-16b6b08c23a5,2024-02-25,Electronics,PayPal,,20.0,1
3f25ff08-d7cd-4174-8666-4036281d312b,d3bde204-b575-455d-a797-1a8faf8db3db,2021-09-15,Beauty ,Credit Card,733.55,10.0,0
12bfdb80-a43a-47a0-b575-4f35155bd0c3,fdd15c31-3788-452a-83a5-16398d8f5882,2021-09-07,Home & Kitchen,cryptocurrency,,20.0,1
18034990-8877-423e-949c-c9cca9d7239d,449e84cb-4942-4e0c-a1b4-5444017ece30,2024-01-18,Clothing,PayPal,40.83,5.0,0
d9edf3fe-2203-4b60-b530-d5c8ab31aba8,9f766074-2b38-410f-9396-dbdd8d162a14,2024-03-05,Home & Kitchen,cryptocurrency,9118.47,15.0,1
43257f21-2d2e-450e-baa4-833c00ed16b1,d1b413da-cc6f-4d36-9a74-c7f1d9cab40d,2021-02-10,Electronics,cryptocurrency,,15.0,1
b9baefe9-55b3-47a6-ab2e-52e2f2e26340,67df634c-6ef8-4383-bb07-843c89309f77,2021-04-04,Electronics,Debit Card,,,0
58d326bb-61ae-4ef3-a879-abaa5cb1da14,67c7c291-affb-4f8a-b657-d0137323050f,2023-01-22,Beauty,Cash,,10.0,1
04a01ed4-b3ca-49ea-9309-33a8af79ffd4,7b4f51fe-98ee-4f3e-922f-9cdb9fd5430a,2021-03-18,Beauty ,Credit Card,2951.59,,1
ae92780b-83cc-44a2-be11-c9c3ac883b7e,8680a40a-1440-4d15-9a77-e56b8d6a66d4,2021-02-27,Beauty ,cryptocurrency,,50.0,1
7b083a13-f082-425d-b245-95b63a3e9924,7fed5fbc-5bb9-423f-a1d8-59be133c973a,2022-01-16,Toys,cryptocurrency,,,1
0fd5af0f-523c-4c5f-aff5-cc07d425c4f5,59a0558b-cac8-41b5-8d55-f8d48e9deabf,2022-09-23,Clothing,PayPal,1699.59,,0
6ed86d34-b200-45f9-bcfa-95a0df3c1472,2f4b9f64-f450-4c29-864d-31e59f5e89b3,2023-09-11,Toys,Cash,4949.26,10.0,0
f972e353-e98d-4492-afa4-fbaccab75289,4ad333c7-85bd-4ee4-8abd-832434cf677f,2022-01-23,Beauty ,PayPal,1267.6,20.0,0
fe40d75b-b49a-4e93-b5a8-01fbf381dc70,4d871871-bc15-452e-87cd-0a9691484b6c,2021-07-09,Home & Kitchen,Debit Card,8830.09,50.0,1
4dd57ebf-6b9f-4c75-9170-02833b87fd5b,a3bdaaab-5daa-4df4-b550-17033596ba4f,2021-06-09,Toys,Debit Card,4321.18,20.0,1
7a5673ae-7482-4944-83c7-23803303a807,5b4084d9-9450-4832-ba4f-4e978e64a45a,2024-10-12,Clothing,Cash,,50.0,1
b885903d-0d17-4991-bccb-dc0bd2c5180c,a6f4277a-d56f-4176-b0e8-86e080a1a46c,2021-03-03,Beauty,Credit Card,,20.0,0
db1a1236-d3f2-472c-81b6-2ee4e2c82039,c0658526-f20d-45ed-8abc-0ab2c2a61190,2020-10-06,Clothing,Credit Card,6693.73,50.0,1
16451fa9-721e-4590-9027-cb8b58665611,ca771081-9ee1-49de-9d9b-757b247a4744,2021-09-22,Toys,cryptocurrency,9911.92,15.0,1
